bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
39.6,17.7,186.0,3500.0,Adelie
40.1,18.9,188.0,4300.0,Adelie
35.0,17.9,190.0,3450.0,Adelie
42.0,19.5,200.0,4050.0,Adelie
34.5,18.1,187.0,2900.0,Adelie
41.4,18.6,191.0,3700.0,Adelie
39.0,17.5,186.0,3550.0,Adelie
40.6,18.8,193.0,3800.0,Adelie
36.5,16.6,181.0,2850.0,Adelie
37.6,19.1,194.0,3750.0,Adelie
35.7,16.9,185.0,3150.0,Adelie
41.3,21.1,195.0,4400.0,Adelie
37.6,17.0,185.0,3600.0,Adelie
41.1,18.2,192.0,4050.0,Adelie
36.4,17.1,184.0,2850.0,Adelie
41.6,18.0,192.0,3950.0,Adelie
35.5,16.2,195.0,3350.0,Adelie
41.1,19.1,188.0,4100.0,Adelie
35.9,16.6,190.0,3050.0,Adelie
41.8,19.4,198.0,4450.0,Adelie
33.5,19.0,190.0,3600.0,Adelie
39.7,18.4,190.0,3900.0,Adelie
39.6,17.2,196.0,3550.0,Adelie
45.8,18.9,197.0,4150.0,Adelie
35.5,17.5,190.0,3700.0,Adelie
42.8,18.5,195.0,4250.0,Adelie
40.9,16.8,191.0,3700.0,Adelie
37.2,19.4,184.0,3900.0,Adelie
36.2,16.1,187.0,3550.0,Adelie
42.1,19.1,195.0,4000.0,Adelie
34.6,17.2,189.0,3200.0,Adelie
42.9,17.6,196.0,4700.0,Adelie
36.7,18.8,187.0,3800.0,Adelie
35.1,19.4,193.0,4200.0,Adelie
37.3,17.8,191.0,3350.0,Adelie
41.3,20.3,194.0,3550.0,Adelie
36.3,19.5,190.0,3800.0,Adelie
36.9,18.6,189.0,3500.0,Adelie
38.3,19.2,189.0,3950.0,Adelie
38.9,18.8,190.0,3600.0,Adelie
35.7,18.0,202.0,3550.0,Adelie
41.1,18.1,205.0,4300.0,Adelie
34.0,17.1,185.0,3400.0,Adelie
39.6,18.1,186.0,4450.0,Adelie
36.2,17.3,187.0,3300.0,Adelie
40.8,18.9,208.0,4300.0,Adelie
38.1,18.6,190.0,3700.0,Adelie
40.3,18.5,196.0,4350.0,Adelie
33.1,16.1,178.0,2900.0,Adelie
43.2,18.5,192.0,4100.0,Adelie
35.0,17.9,192.0,3725.0,Adelie
41.0,20.0,203.0,4725.0,Adelie
37.7,16.0,183.0,3075.0,Adelie
37.8,20.0,190.0,4250.0,Adelie
37.9,18.6,193.0,2925.0,Adelie
39.7,18.9,184.0,3550.0,Adelie
38.6,17.2,199.0,3750.0,Adelie
38.2,20.0,190.0,3900.0,Adelie
38.1,17.0,181.0,3175.0,Adelie
43.2,19.0,197.0,4775.0,Adelie
38.1,16.5,198.0,3825.0,Adelie
45.6,20.3,191.0,4600.0,Adelie
39.7,17.7,193.0,3200.0,Adelie
42.2,19.5,197.0,4275.0,Adelie
39.6,20.7,191.0,3900.0,Adelie
42.7,18.3,196.0,4075.0,Adelie
38.6,17.0,188.0,2900.0,Adelie
37.3,20.5,199.0,3775.0,Adelie
35.7,17.0,189.0,3350.0,Adelie
41.1,18.6,189.0,3325.0,Adelie
36.2,17.2,187.0,3150.0,Adelie
37.7,19.8,198.0,3500.0,Adelie
40.2,17.0,176.0,3450.0,Adelie
41.4,18.5,202.0,3875.0,Adelie
35.2,15.9,186.0,3050.0,Adelie
40.6,19.0,199.0,4000.0,Adelie
38.8,17.6,191.0,3275.0,Adelie
41.5,18.3,195.0,4300.0,Adelie
39.0,17.1,191.0,3050.0,Adelie
44.1,18.0,210.0,4000.0,Adelie
38.5,17.9,190.0,3325.0,Adelie
43.1,19.2,197.0,3500.0,Adelie
36.8,18.5,193.0,3500.0,Adelie
37.5,18.5,199.0,4475.0,Adelie
38.1,17.6,187.0,3425.0,Adelie
41.1,17.5,190.0,3900.0,Adelie
35.6,17.5,191.0,3175.0,Adelie
40.2,20.1,200.0,3975.0,Adelie
37.0,16.5,185.0,3400.0,Adelie
39.7,17.9,193.0,4250.0,Adelie
40.2,17.1,193.0,3400.0,Adelie
40.6,17.2,187.0,3475.0,Adelie
32.1,15.5,188.0,3050.0,Adelie
40.7,17.0,190.0,3725.0,Adelie
37.3,16.8,192.0,3000.0,Adelie
39.0,18.7,185.0,3650.0,Adelie
39.2,18.6,190.0,4250.0,Adelie
36.6,18.4,184.0,3475.0,Adelie
36.0,17.8,195.0,3450.0,Adelie
37.8,18.1,193.0,3750.0,Adelie
36.0,17.1,187.0,3700.0,Adelie
41.5,18.5,201.0,4000.0,Adelie
46.5,17.9,192.0,3500.0,Chinstrap
50.0,19.5,196.0,3900.0,Chinstrap
51.3,19.2,193.0,3650.0,Chinstrap
45.4,18.7,188.0,3525.0,Chinstrap
52.7,19.8,197.0,3725.0,Chinstrap
45.2,17.8,198.0,3950.0,Chinstrap
46.1,18.2,178.0,3250.0,Chinstrap
51.3,18.2,197.0,3750.0,Chinstrap
46.0,18.9,195.0,4150.0,Chinstrap
51.3,19.9,198.0,3700.0,Chinstrap
46.6,17.8,193.0,3800.0,Chinstrap
51.7,20.3,194.0,3775.0,Chinstrap
47.0,17.3,185.0,3700.0,Chinstrap
52.0,18.1,201.0,4050.0,Chinstrap
45.9,17.1,190.0,3575.0,Chinstrap
50.5,19.6,201.0,4050.0,Chinstrap
50.3,20.0,197.0,3300.0,Chinstrap
58.0,17.8,181.0,3700.0,Chinstrap
46.4,18.6,190.0,3450.0,Chinstrap
49.2,18.2,195.0,4400.0,Chinstrap
42.4,17.3,181.0,3600.0,Chinstrap
48.5,17.5,191.0,3400.0,Chinstrap
43.2,16.6,187.0,2900.0,Chinstrap
50.6,19.4,193.0,3800.0,Chinstrap
46.7,17.9,195.0,3300.0,Chinstrap
52.0,19.0,197.0,4150.0,Chinstrap
50.5,18.4,200.0,3400.0,Chinstrap
49.5,19.0,200.0,3800.0,Chinstrap
46.4,17.8,191.0,3700.0,Chinstrap
52.8,20.0,205.0,4550.0,Chinstrap
40.9,16.6,187.0,3200.0,Chinstrap
54.2,20.8,201.0,4300.0,Chinstrap
42.5,16.7,187.0,3350.0,Chinstrap
51.0,18.8,203.0,4100.0,Chinstrap
49.7,18.6,195.0,3600.0,Chinstrap
47.5,16.8,199.0,3900.0,Chinstrap
47.6,18.3,195.0,3850.0,Chinstrap
52.0,20.7,210.0,4800.0,Chinstrap
46.9,16.6,192.0,2700.0,Chinstrap
53.5,19.9,205.0,4500.0,Chinstrap
49.0,19.5,210.0,3950.0,Chinstrap
46.2,17.5,187.0,3650.0,Chinstrap
50.9,19.1,196.0,3550.0,Chinstrap
45.5,17.0,196.0,3500.0,Chinstrap
50.9,17.9,196.0,3675.0,Chinstrap
50.8,18.5,201.0,4450.0,Chinstrap
50.1,17.9,190.0,3400.0,Chinstrap
49.0,19.6,212.0,4300.0,Chinstrap
51.5,18.7,187.0,3250.0,Chinstrap
49.8,17.3,198.0,3675.0,Chinstrap
48.1,16.4,199.0,3325.0,Chinstrap
51.4,19.0,201.0,3950.0,Chinstrap
45.7,17.3,193.0,3600.0,Chinstrap
50.7,19.7,203.0,4050.0,Chinstrap
42.5,17.3,187.0,3350.0,Chinstrap
52.2,18.8,197.0,3450.0,Chinstrap
45.2,16.6,191.0,3250.0,Chinstrap
49.3,19.9,203.0,4050.0,Chinstrap
50.2,18.8,202.0,3800.0,Chinstrap
45.6,19.4,194.0,3525.0,Chinstrap
51.9,19.5,206.0,3950.0,Chinstrap
46.8,16.5,189.0,3650.0,Chinstrap
45.7,17.0,195.0,3650.0,Chinstrap
55.8,19.8,207.0,4000.0,Chinstrap
43.5,18.1,202.0,3400.0,Chinstrap
49.6,18.2,193.0,3775.0,Chinstrap
50.8,19.0,210.0,4100.0,Chinstrap
50.2,18.7,198.0,3775.0,Chinstrap
46.1,13.2,211.0,4500.0,Gentoo
50.0,16.3,230.0,5700.0,Gentoo
48.7,14.1,210.0,4450.0,Gentoo
50.0,15.2,218.0,5700.0,Gentoo
47.6,14.5,215.0,5400.0,Gentoo
46.5,13.5,210.0,4550.0,Gentoo
45.4,14.6,211.0,4800.0,Gentoo
46.7,15.3,219.0,5200.0,Gentoo
43.3,13.4,209.0,4400.0,Gentoo
46.8,15.4,215.0,5150.0,Gentoo
40.9,13.7,214.0,4650.0,Gentoo
49.0,16.1,216.0,5550.0,Gentoo
45.5,13.7,214.0,4650.0,Gentoo
48.4,14.6,213.0,5850.0,Gentoo
45.8,14.6,210.0,4200.0,Gentoo
49.3,15.7,217.0,5850.0,Gentoo
42.0,13.5,210.0,4150.0,Gentoo
49.2,15.2,221.0,6300.0,Gentoo
46.2,14.5,209.0,4800.0,Gentoo
48.7,15.1,222.0,5350.0,Gentoo
50.2,14.3,218.0,5700.0,Gentoo
45.1,14.5,215.0,5000.0,Gentoo
46.5,14.5,213.0,4400.0,Gentoo
46.3,15.8,215.0,5050.0,Gentoo
42.9,13.1,215.0,5000.0,Gentoo
46.1,15.1,215.0,5100.0,Gentoo
47.8,15.0,215.0,5650.0,Gentoo
48.2,14.3,210.0,4600.0,Gentoo
50.0,15.3,220.0,5550.0,Gentoo
47.3,15.3,222.0,5250.0,Gentoo
42.8,14.2,209.0,4700.0,Gentoo
45.1,14.5,207.0,5050.0,Gentoo
59.6,17.0,230.0,6050.0,Gentoo
49.1,14.8,220.0,5150.0,Gentoo
48.4,16.3,220.0,5400.0,Gentoo
42.6,13.7,213.0,4950.0,Gentoo
44.4,17.3,219.0,5250.0,Gentoo
44.0,13.6,208.0,4350.0,Gentoo
48.7,15.7,208.0,5350.0,Gentoo
42.7,13.7,208.0,3950.0,Gentoo
49.6,16.0,225.0,5700.0,Gentoo
45.3,13.7,210.0,4300.0,Gentoo
49.6,15.0,216.0,4750.0,Gentoo
50.5,15.9,222.0,5550.0,Gentoo
43.6,13.9,217.0,4900.0,Gentoo
45.5,13.9,210.0,4200.0,Gentoo
50.5,15.9,225.0,5400.0,Gentoo
44.9,13.3,213.0,5100.0,Gentoo
45.2,15.8,215.0,5300.0,Gentoo
46.6,14.2,210.0,4850.0,Gentoo
48.5,14.1,220.0,5300.0,Gentoo
45.1,14.4,210.0,4400.0,Gentoo
50.1,15.0,225.0,5000.0,Gentoo
46.5,14.4,217.0,4900.0,Gentoo
45.0,15.4,220.0,5050.0,Gentoo
43.8,13.9,208.0,4300.0,Gentoo
45.5,15.0,220.0,5000.0,Gentoo
43.2,14.5,208.0,4450.0,Gentoo
50.4,15.3,224.0,5550.0,Gentoo
45.3,13.8,208.0,4200.0,Gentoo
46.2,14.9,221.0,5300.0,Gentoo
45.7,13.9,214.0,4400.0,Gentoo
54.3,15.7,231.0,5650.0,Gentoo
45.8,14.2,219.0,4700.0,Gentoo
49.8,16.8,230.0,5700.0,Gentoo
49.5,16.2,229.0,5800.0,Gentoo
43.5,14.2,220.0,4700.0,Gentoo
50.7,15.0,223.0,5550.0,Gentoo
47.7,15.0,216.0,4750.0,Gentoo
46.4,15.6,221.0,5000.0,Gentoo
48.2,15.6,221.0,5100.0,Gentoo
46.5,14.8,217.0,5200.0,Gentoo
46.4,15.0,216.0,4700.0,Gentoo
48.6,16.0,230.0,5800.0,Gentoo
47.5,14.2,209.0,4600.0,Gentoo
51.1,16.3,220.0,6000.0,Gentoo
45.2,13.8,215.0,4750.0,Gentoo
45.2,16.4,223.0,5950.0,Gentoo
49.1,14.5,212.0,4625.0,Gentoo
52.5,15.6,221.0,5450.0,Gentoo
47.4,14.6,212.0,4725.0,Gentoo
50.0,15.9,224.0,5350.0,Gentoo
44.9,13.8,212.0,4750.0,Gentoo
50.8,17.3,228.0,5600.0,Gentoo
43.4,14.4,218.0,4600.0,Gentoo
51.3,14.2,218.0,5300.0,Gentoo
47.5,14.0,212.0,4875.0,Gentoo
52.1,17.0,230.0,5550.0,Gentoo
47.5,15.0,218.0,4950.0,Gentoo
52.2,17.1,228.0,5400.0,Gentoo
45.5,14.5,212.0,4750.0,Gentoo
49.5,16.1,224.0,5650.0,Gentoo
44.5,14.7,214.0,4850.0,Gentoo
50.8,15.7,226.0,5200.0,Gentoo
49.4,15.8,216.0,4925.0,Gentoo
46.9,14.6,222.0,4875.0,Gentoo
48.4,14.4,203.0,4625.0,Gentoo
51.1,16.5,225.0,5250.0,Gentoo
48.5,15.0,219.0,4850.0,Gentoo
55.9,17.0,228.0,5600.0,Gentoo
47.2,15.5,215.0,4975.0,Gentoo
49.1,15.0,228.0,5500.0,Gentoo
46.8,16.1,215.0,5500.0,Gentoo
41.7,14.7,210.0,4700.0,Gentoo
53.4,15.8,219.0,5500.0,Gentoo
43.3,14.0,208.0,4575.0,Gentoo
48.1,15.1,209.0,5500.0,Gentoo
50.5,15.2,216.0,5000.0,Gentoo
49.8,15.9,229.0,5950.0,Gentoo
43.5,15.2,213.0,4650.0,Gentoo
51.5,16.3,230.0,5500.0,Gentoo
46.2,14.1,217.0,4375.0,Gentoo
55.1,16.0,230.0,5850.0,Gentoo
48.8,16.2,222.0,6000.0,Gentoo
47.2,13.7,214.0,4925.0,Gentoo
46.8,14.3,215.0,4850.0,Gentoo
50.4,15.7,222.0,5750.0,Gentoo
45.2,14.8,212.0,5200.0,Gentoo
49.9,16.1,213.0,5400.0,Gentoo
36.108397348116455,19.385038408869875,189.4251920443494,3800.0,Adelie
40.27015029218141,18.49599789992538,189.65536523008043,4450.0,Adelie
35.748836057003196,16.929301634201913,185.19534422801277,3150.0,Adelie
41.694772842419454,18.531576697348786,180.94730092046353,3550.0,Adelie
45.91196950125208,20.355603516277036,195.3204574812188,4177.99237531302,Adelie
39.02914647121731,18.77085352878269,190.0,4250.0,Adelie
39.15144692696662,19.659163870788586,187.52411544944366,3650.0,Adelie
38.94153951410413,17.089683443665436,191.0343885211152,3048.280573944239,Adelie
38.499495115426676,19.172796120623634,188.18388361870905,3950.0,Adelie
43.070610009199996,18.448244003679996,193.03511992640006,4093.5305004599995,Adelie
38.78259359428672,17.303729944081415,180.72468801904427,3450.0,Adelie
40.129908829352,18.166304335877175,195.37657784782118,3550.0,Adelie
37.33561227928648,19.852176855062307,197.0401360423556,4376.003401058891,Adelie
36.33736822347463,18.98131588826269,187.90657944131345,3800.0,Adelie
35.801553960915925,17.273941782210212,187.70601881132131,3200.0,Adelie
36.3760384305886,19.430044643858484,189.6958462776456,3800.0,Adelie
37.852646105697225,17.35264610569723,186.55026564672224,3419.3783205840277,Adelie
37.2,19.321348624033444,183.63699364938515,3900.0,Adelie
39.86344752136848,17.036896410256592,192.15861880342118,3400.0,Adelie
41.1,18.561890019070024,190.39159991524434,4070.105001059446,Adelie
40.47812086912483,16.854688035483818,190.92187423502313,3700.0,Adelie
37.59912549302347,18.55575374897404,192.46904498768848,2922.787687448702,Adelie
38.731162297322115,19.141205141274256,187.2361542382277,3950.0,Adelie
35.59297744912487,19.49497730671213,193.04522728891052,4200.0,Adelie
41.00936185774899,20.15546246306857,196.65066066152653,4400.0,Adelie
38.69586215908047,21.1,196.16603186906843,4400.0,Adelie
41.76584154916177,18.52713490317739,180.81404709532168,3550.0,Adelie
40.134252498169616,18.83149500366077,189.37009992678458,4308.563124542404,Adelie
36.542155988048464,16.38594800398385,187.50272671314488,3058.91883316734,Adelie
39.187626196125045,19.813383372875336,187.4715894128136,3642.9766372578156,Adelie
39.8683137330532,18.096965691474075,184.37191175052524,3550.0,Adelie
35.925478759959624,17.11273937997981,189.28184844994954,3350.0,Adelie
37.486810640337524,18.46153788652783,190.39560603849193,3704.945075481149,Adelie
38.42416261838485,18.91799429195225,194.62724678160114,3450.0,Adelie
35.632782658498705,17.49344346830026,190.86886936600519,3175.0,Adelie
35.0345301233273,16.349469246226324,189.54448953859333,3050.0,Adelie
41.37755979491493,19.523082364317986,201.6089902292608,4720.032107961646,Adelie
38.983433648629195,18.691164612602236,185.0110442342472,3650.27610585618,Adelie
36.40773071422742,18.092269285772584,182.73815428618067,3140.773071422742,Adelie
40.84137146876952,16.858628531230476,190.70685734384762,3707.3285664038094,Adelie
37.741220070514764,17.656106451236887,189.729007168041,3331.7748207989753,Adelie
37.47502937057605,17.365967445302488,193.62762208011569,3325.0,Adelie
34.640684838294774,18.02595534826591,186.77786604479772,2896.2977674132953,Adelie
37.30952337724062,17.45092600998099,196.49073990019008,3741.0383567863933,Adelie
37.2,18.25062977738267,178.69521435715077,3900.0,Adelie
38.822034453638274,16.949413768463153,189.90482740700475,3053.42241435311,Adelie
40.16505280975866,19.494554005848187,190.62329812682756,3900.0,Adelie
39.200730592544204,19.971293752779967,188.34550987573675,3650.0,Adelie
37.72076086554345,19.204662474570966,181.44490845200215,3300.0,Adelie
36.44635757211759,16.931098232171564,183.75607071313735,3157.7745580428914,Adelie
36.59584328132304,18.912225016959876,193.0,4216.2591661013375,Adelie
39.31072432483664,17.745921235667613,188.8111814649858,3293.240154458452,Adelie
40.39737356301853,18.571175287238223,190.34931034373744,4450.0,Adelie
39.59022980593894,17.822557451484734,188.78951080196572,3294.3606371288165,Adelie
43.8363402306247,17.217923415392875,184.69344630732067,3589.740426924109,Chinstrap
42.5,16.84666931687417,187.0,3350.0,Chinstrap
48.95759633098324,17.70591834894246,193.0591834894246,3400.0,Chinstrap
46.19252365734941,17.21546986474319,190.38489954914397,3576.9244977457197,Chinstrap
51.18869593184145,19.97562136771558,205.65372820629347,4684.099418834493,Chinstrap
52.4742901978444,19.8161221287254,197.161221287254,3720.9694678186497,Chinstrap
45.653941783199,17.114060469531488,189.36727887108316,3576.757558691436,Chinstrap
47.83136853139018,16.687819430653374,198.23248151825766,3320.2030094891106,Chinstrap
47.479619714843714,17.76985211132811,196.0,3518.329812174479,Chinstrap
50.974292118037546,18.825707881962458,203.89977586868596,4100.0,Chinstrap
52.61539708477593,19.487711361488138,194.66242530728493,3700.0,Chinstrap
49.87165221198973,18.535826105994865,196.86570058886036,4427.985508832905,Chinstrap
45.541306792147886,18.028094397583963,178.9669690135902,3244.627949924499,Chinstrap
46.72460430659044,18.238197327425304,201.0786844838313,3400.0,Chinstrap
52.15404787586875,20.565208108614843,209.0372007758203,4751.8600387910155,Chinstrap
50.47397432968632,17.75452781989289,195.27263909946444,3672.4022824980875,Chinstrap
50.63679166006752,19.159001737485934,203.86203127474678,3950.0,Chinstrap
50.2,18.788994807547233,201.5597923018893,3797.2487018868082,Chinstrap
45.53238902474835,16.6,190.8603241872903,2813.9675812709706,Chinstrap
51.47391675933537,18.6291568845495,198.28132336587876,3428.6446105686873,Chinstrap
42.5,17.190808859553496,187.0,3350.0,Chinstrap
49.228995391351006,17.258219174976904,197.58219174976904,3671.5182645814084,Chinstrap
52.69026701725634,19.788876591150096,197.0,3725.1738032632798,Chinstrap
45.23981510556563,16.553224190773268,192.8710323690692,3337.768682564439,Chinstrap
51.17053721637365,20.100893203778536,207.40847896536343,4300.0,Chinstrap
51.61095093465902,19.877789218952927,197.77789218952927,3705.5526952617683,Chinstrap
51.652053853066526,20.04828272859927,194.35959610200103,3772.003365816658,Chinstrap
51.33761517140363,18.563669380017462,202.32476965719275,4083.1192414298184,Chinstrap
50.868508355304975,18.62559865139246,201.51381266478734,4469.981603630618,Chinstrap
42.5,17.106078240787546,187.0,3350.0,Chinstrap
50.4436281347699,20.1293303160823,211.03758124348673,4540.604689128317,Chinstrap
50.82483033423228,19.021811375337105,193.59396208220966,3635.150947944759,Chinstrap
48.05451840951718,18.38180736380687,193.0,3800.0,Chinstrap
51.5560886218769,20.229455206802403,193.97178208272095,3775.705447931976,Chinstrap
50.345063246069465,19.951181483424744,196.62447294942112,3298.1223647471056,Chinstrap
54.69215789836839,19.59857416333971,205.4893062250478,3987.410885208732,Chinstrap
47.0192604587533,18.250825448232284,200.99449701178477,3400.0,Chinstrap
46.46903385920155,16.650439154908383,190.80526985890063,3650.0,Chinstrap
49.332153973052385,18.456968098875493,197.15159505622532,3414.2420247188734,Chinstrap
52.64835827370366,19.803688694735452,197.03688694735453,3724.077826316137,Chinstrap
47.77130699806031,17.95617426640804,193.0,3790.239108349497,Chinstrap
50.84919629303134,19.252411120905975,203.0,4074.8660488385567,Chinstrap
42.89123850949992,17.330887250749996,187.15443625374996,3352.5739375624994,Chinstrap
56.02161010392006,17.827864646423663,185.17969696354916,3693.033838394085,Chinstrap
52.25776304473005,19.527520234210005,206.09173411403336,3954.586705701667,Chinstrap
51.20417524373321,18.888569542132934,193.71868567200093,3655.9890472666743,Chinstrap
50.7175676907074,18.62755256395439,185.695946151179,3250.0,Chinstrap
46.23839803630532,16.90843779177795,191.04218895888974,3624.472638013878,Chinstrap
50.148341634798165,18.785650454110602,201.8708540869954,3800.0,Chinstrap
50.2,18.72420552715115,198.96822108604601,3781.0513817877877,Chinstrap
46.46721355474059,18.129505116815885,191.34427109481175,3483.606777370294,Chinstrap
45.7,17.071514115401385,194.52323923065742,3638.080980766436,Chinstrap
47.09807768476808,18.62774757918632,182.5151133358556,3261.88187719962,Chinstrap
46.636929809167114,16.77178365138814,188.45643269722373,3650.0,Chinstrap
48.975980722210686,19.22765542128957,196.2644337345615,3300.0,Chinstrap
51.047077667762565,18.635388338812838,196.73538833881284,3684.1923542351606,Chinstrap
45.929823260315196,18.85029456614134,193.2670594215218,3515.838242769022,Chinstrap
48.20732405222428,18.0143098736299,193.0,3786.6056328981313,Chinstrap
48.64446363208705,17.536115908021763,190.9097102299456,3400.0,Chinstrap
50.23057650617507,19.41765124779462,196.82348752205382,3908.234875220538,Chinstrap
47.762340194915204,16.75662405197739,191.8870205847456,3658.0195016242933,Chinstrap
46.209881511520535,16.6,191.06740744800072,2737.3037020799707,Chinstrap
45.495922485844524,17.069317740643097,195.67379886756189,3501.019378538869,Chinstrap
48.65901824434709,19.313625060231768,198.54535765912945,4090.910705681176,Chinstrap
46.294360426316786,16.496730691447315,195.13077234210738,3333.060890953943,Chinstrap
49.03981078942685,19.491706085536073,209.8507095396493,3950.0,Chinstrap
53.31167459732633,19.751209305829928,205.0483722331971,4024.395347085036,Chinstrap
52.783333523271956,19.567948732559383,206.22649577519795,3961.324788759897,Chinstrap
42.5,16.91289632575433,187.0,3350.0,Chinstrap
49.95842128337304,18.733830499089517,196.0,3541.2816785497503,Chinstrap
49.62006302382542,18.887375857168877,197.61812452379507,3307.7265565474386,Chinstrap
50.83979396109839,20.27459111906941,210.77347069260108,4606.632326849732,Chinstrap
45.41265400225265,18.744289007884284,188.3796200675796,3525.0,Chinstrap
50.14363480719704,19.044991622341605,194.89983244683205,3546.56197639635,Chinstrap
47.93943839035632,18.07981279678544,189.04639810630155,3650.0,Chinstrap
49.02269470424812,19.441137070263178,210.07095013890998,4311.3473521240585,Chinstrap
51.217162980106416,18.23765319086072,197.07530638172145,3751.882659543036,Chinstrap
49.758421672171536,18.677339353380983,200.89605418042882,3800.0,Chinstrap
51.658322581798174,18.56785253505636,195.1944086059939,3437.1029186142423,Chinstrap
45.56599840460342,18.58396171048203,194.68003190793164,3516.4996011508547,Chinstrap
49.897888840442675,19.341999920724376,197.36555559959757,3304.5694449949697,Chinstrap
51.33375902608064,19.478558214481183,205.00319269560484,4605.6797159401885,Chinstrap
49.17790347013604,18.9529650578356,196.05930115671202,4150.0,Chinstrap
52.99073854549774,20.171184043658826,199.54888625459728,4324.185229090045,Chinstrap
51.16034584829115,19.02310474116879,193.46551383902948,3652.3275691951476,Chinstrap
49.29807430193535,19.5,209.5888630318133,3950.0,Chinstrap
49.52117056005732,17.3,196.7054347431233,3677.4895485709167,Chinstrap
49.979860874363965,18.516550728636634,196.16550728636633,3775.0,Chinstrap
48.372657002966235,18.923649355217208,196.6780595820974,3916.951489552435,Chinstrap
52.0,18.685711382848606,198.39683829845063,4115.079042538734,Chinstrap
50.008168975209166,18.85480886422595,201.45191135774047,3800.0,Chinstrap
50.85757411779608,19.6324866758767,196.66243337938351,3700.0,Chinstrap
50.12096049698558,18.733874072720464,198.22582715146976,3777.822839393372,Chinstrap
47.492448034912556,18.36226135369899,195.44024890828476,3300.0,Chinstrap
46.35218987692573,17.21362531692343,189.56812658461715,3382.1015823077146,Chinstrap
49.44303794049158,19.807446038505446,203.0,4054.2069982497524,Chinstrap
46.346514856378455,17.510117328323,193.32325742818924,3600.0,Chinstrap
48.66231329835667,17.54057832458917,190.89855418852707,3400.0,Chinstrap
49.63857435795754,18.96064290596596,196.21285811931918,4150.0,Chinstrap
45.23494879614319,17.815634987748272,198.11036461939955,3950.0,Chinstrap
50.08396667424927,18.420294308573204,198.9852845713397,3405.0735771433015,Chinstrap
50.92415513041336,19.5,207.34599292356776,3950.0,Chinstrap
49.60506158384622,18.20607390061546,193.0,3775.1265395961555,Chinstrap
50.90905046684275,19.442707117732002,202.678383897165,4050.0,Chinstrap
43.24658429529375,17.322025937013464,182.9386041042993,3222.5633105316706,Chinstrap
55.935697824541045,18.447020084845345,186.2377816392242,3700.0,Chinstrap
54.1715738545286,17.6259806297513,182.3921549619896,3700.0,Chinstrap
45.72426930946056,17.201842378514502,195.10292276215776,3500.0,Chinstrap
47.63615480314887,18.087820778652464,195.59038700787218,3800.0,Chinstrap
49.15255018250064,18.53214872249552,199.0332344874456,4376.27509125032,Chinstrap
47.324582203437345,18.176980392392952,190.44440422577026,3600.0,Chinstrap
50.00421031385837,18.72675429744099,195.25350859488196,3587.324570255901,Chinstrap
48.8284581759983,19.369339218284985,190.34302508189708,3282.4816449523605,Chinstrap
49.44124254320932,18.245232976851746,195.90465953703495,4407.538829475291,Chinstrap
44.570122544591136,17.3,188.8913547076041,3600.0,Chinstrap
46.521839776651696,18.229507418999358,201.13661720667093,3400.0,Chinstrap
50.819216439465826,18.88759027860629,200.7189756965157,3950.0,Chinstrap
48.117949533461505,18.34125896367132,193.47086321223773,3518.385790152972,Chinstrap
45.47347976323183,17.450844025058935,193.8783810585462,3506.630059192043,Chinstrap
